t,x1,x2,x3,E
1.15500e+01,8.02109e-01,-1.41929e+00,4.05294e-01,1.24190e+00
1.17000e+01,9.56511e-01,-1.45214e+00,2.88806e-01,1.19391e+00
1.18500e+01,1.06248e+00,-1.42799e+00,1.36639e-01,1.48857e+00
1.20000e+01,1.11673e+00,-1.35018e+00,-4.48332e-02,2.03342e+00
1.21500e+01,1.11829e+00,-1.22469e+00,-2.47188e-01,2.68292e+00
1.23000e+01,1.06851e+00,-1.05979e+00,-4.60386e-01,3.27364e+00
1.24500e+01,9.70910e-01,-8.65539e-01,-6.73299e-01,3.66281e+00
1.26000e+01,8.30940e-01,-6.53241e-01,-8.74321e-01,3.76131e+00
1.27500e+01,6.55682e-01,-4.34779e-01,-1.05201e+00,3.55365e+00
1.29000e+01,4.53474e-01,-2.21965e-01,-1.19573e+00,3.10053e+00
1.30500e+01,2.33499e-01,-2.58825e-02,-1.29628e+00,2.52349e+00
1.32000e+01,5.34939e-03,1.43717e-01,-1.34643e+00,1.97527e+00
1.33500e+01,-2.21400e-01,2.78942e-01,-1.34137e+00,1.60293e+00
1.35000e+01,-4.37606e-01,3.74171e-01,-1.27903e+00,1.51214e+00
1.36500e+01,-6.34928e-01,4.26341e-01,-1.16026e+00,1.74103e+00
1.38000e+01,-8.06139e-01,4.35078e-01,-9.88841e-01,2.24978e+00
1.39500e+01,-9.45377e-01,4.02677e-01,-7.71358e-01,2.92839e+00
1.41000e+01,-1.04831e+00,3.33933e-01,-5.16881e-01,3.62112e+00
1.42500e+01,-1.11225e+00,2.35826e-01,-2.36543e-01,4.16215e+00
1.44000e+01,-1.13613e+00,1.17082e-01,5.70155e-02,4.41434e+00
1.45500e+01,-1.12047e+00,-1.23622e-02,3.50291e-01,4.30229e+00
1.47000e+01,-1.06724e+00,-1.41960e-01,6.29611e-01,3.83190e+00
1.48500e+01,-9.79670e-01,-2.61192e-01,8.81848e-01,3.09185e+00
1.50000e+01,-8.62042e-01,-3.60199e-01,1.09511e+00,2.23610e+00
