x,y,Ex,Ey,E
-9.50000e+00,2.50000e+00,3.10253e-01,-1.19934e-01,3.32628e-01
-9.50000e+00,3.00000e+00,2.86528e-01,-1.35062e-01,3.16765e-01
-9.50000e+00,3.50000e+00,2.61186e-01,-1.46420e-01,2.99427e-01
-9.50000e+00,4.00000e+00,2.35142e-01,-1.54081e-01,2.81127e-01
-9.50000e+00,4.50000e+00,2.09211e-01,-1.58292e-01,2.62346e-01
-9.50000e+00,5.00000e+00,1.84071e-01,-1.59422e-01,2.43511e-01
-9.50000e+00,5.50000e+00,1.60245e-01,-1.57917e-01,2.24981e-01
-9.50000e+00,6.00000e+00,1.38103e-01,-1.54257e-01,2.07045e-01
-9.50000e+00,6.50000e+00,1.17870e-01,-1.48916e-01,1.89919e-01
-9.50000e+00,7.00000e+00,9.96538e-02,-1.42338e-01,1.73755e-01
-9.50000e+00,7.50000e+00,8.34608e-02,-1.34917e-01,1.58645e-01
-9.50000e+00,8.00000e+00,6.92265e-02,-1.26990e-01,1.44633e-01
-9.50000e+00,8.50000e+00,5.68357e-02,-1.18834e-01,1.31726e-01
-9.50000e+00,9.00000e+00,4.61418e-02,-1.10668e-01,1.19901e-01
-9.50000e+00,9.50000e+00,3.69822e-02,-1.02657e-01,1.09115e-01
-9.50000e+00,1.00000e+01,2.91899e-02,-9.49243e-02,9.93110e-02
-9.00000e+00,-1.00000e+01,2.61167e-02,1.02216e-01,1.05500e-01
-9.00000e+00,-9.50000e+00,3.42356e-02,1.11322e-01,1.16468e-01
-9.00000e+00,-9.00000e+00,4.39264e-02,1.20898e-01,1.28630e-01
-9.00000e+00,-8.50000e+00,5.54135e-02,1.30825e-01,1.42077e-01
-9.00000e+00,-8.00000e+00,6.89258e-02,1.40933e-01,1.56885e-01
-9.00000e+00,-7.50000e+00,8.46836e-02,1.50981e-01,1.73109e-01
-9.00000e+00,-7.00000e+00,1.02880e-01,1.60654e-01,1.90772e-01
-9.00000e+00,-6.50000e+00,1.23656e-01,1.69550e-01,2.09852e-01
-9.00000e+00,-6.00000e+00,1.47072e-01,1.77183e-01,2.30269e-01
-9.00000e+00,-5.50000e+00,1.73068e-01,1.82987e-01,2.51866e-01
-9.00000e+00,-5.00000e+00,2.01431e-01,1.86335e-01,2.74400e-01
-9.00000e+00,-4.50000e+00,2.31760e-01,1.86572e-01,2.97526e-01
-9.00000e+00,-4.00000e+00,2.63437e-01,1.83065e-01,3.20798e-01
-9.00000e+00,-3.50000e+00,2.95623e-01,1.75261e-01,3.43670e-01
-9.00000e+00,-3.00000e+00,3.27272e-01,1.62763e-01,3.65512e-01
-9.00000e+00,-2.50000e+00,3.57176e-01,1.45394e-01,3.85635e-01
-9.00000e+00,-2.00000e+00,3.84040e-01,1.23260e-01,4.03335e-01
-9.00000e+00,-1.50000e+00,4.06577e-01,9.67791e-02,4.17936e-01
-9.00000e+00,-1.00000e+00,4.23624e-01,6.66920e-02,4.28842e-01
-9.00000e+00,-5.00000e-01,4.34254e-01,3.40206e-02,4.35584e-01
-9.00000e+00,0.00000e+00,4.37866e-01,4.33681e-19,4.37866e-01
-9.00000e+00,5.00000e-01,4.34254e-01,-3.40206e-02,4.35584e-01
-9.00000e+00,1.00000e+00,4.23624e-01,-6.66920e-02,4.28842e-01
-9.00000e+00,1.50000e+00,4.06577e-01,-9.67791e-02,4.17936e-01
-9.00000e+00,2.00000e+00,3.84040e-01,-1.23260e-01,4.03335e-01
-9.00000e+00,2.50000e+00,3.57176e-01,-1.45394e-01,3.85635e-01
-9.00000e+00,3.00000e+00,3.27272e-01,-1.62763e-01,3.65512e-01
-9.00000e+00,3.50000e+00,2.95623e-01,-1.75261e-01,3.43670e-01
-9.00000e+00,4.00000e+00,2.63437e-01,-1.83065e-01,3.20798e-01
-9.00000e+00,4.50000e+00,2.31760e-01,-1.86572e-01,2.97526e-01
-9.00000e+00,5.00000e+00,2.01431e-01,-1.86335e-01,2.74400e-01
-9.00000e+00,5.50000e+00,1.73068e-01,-1.82987e-01,2.51866e-01
-9.00000e+00,6.00000e+00,1.47072e-01,-1.77183e-01,2.30269e-01
-9.00000e+00,6.50000e+00,1.23656e-01,-1.69550e-01,2.09852e-01
-9.00000e+00,7.00000e+00,1.02880e-01,-1.60654e-01,1.90772e-01
-9.00000e+00,7.50000e+00,8.46836e-02,-1.50981e-01,1.73109e-01
-9.00000e+00,8.00000e+00,6.89258e-02,-1.40933e-01,1.56885e-01
-9.00000e+00,8.50000e+00,5.54135e-02,-1.30825e-01,1.42077e-01
-9.00000e+00,9.00000e+00,4.39264e-02,-1.20898e-01,1.28630e-01
-9.00000e+00,9.50000e+00,3.42356e-02,-1.11322e-01,1.16468e-01
-9.00000e+00,1.00000e+01,2.61167e-02,-1.02216e-01,1.05500e-01
-8.50000e+00,-1.00000e+01,2.20793e-02,1.09697e-01,1.11897e-01
-8.50000e+00,-9.50000e+00,3.04163e-02,1.20359e-01,1.24143e-01
-8.50000e+00,-9.00000e+00,4.05415e-02,1.31740e-01,1.37837e-01
-8.50000e+00,-8.50000e+00,5.27505e-02,1.43740e-01,1.53114e-01
-8.50000e+00,-8.00000e+00,6.73574e-02,1.56191e-01,1.70096e-01
-8.50000e+00,-7.50000e+00,8.46809e-02,1.68843e-01,1.88888e-01
